Direction,Car,Motorbike,Bus,Truck
Down,10,0,0,1
Down,17,0,0,0
Down,13,0,0,4
Down,10,0,0,1
Down,11,0,0,1
Down,11,0,0,1
Down,8,0,0,6
Down,10,0,0,3
Down,12,0,0,2
Down,15,0,0,2
Down,20,0,0,4
Down,16,0,0,2
Down,23,0,0,2
Down,13,0,0,4
Down,16,0,0,0
Down,12,0,0,1
Down,137,0,0,1
Down,30,0,0,1
Down,69,0,0,0
Down,20,0,0,2
Down,5,0,0,4
Down,34,0,0,1
Down,69,0,1,2
Down,29,0,0,2
Down,33,0,0,0
Down,63,0,0,3
Down,52,0,0,2
Down,15,0,0,1
Down,24,0,0,3
Down,23,0,0,2
Down,25,0,0,2
Down,229,0,0,3
Down,100,0,0,1
Down,70,0,0,1
Down,164,0,0,2
Down,63,0,0,3
Down,118,0,0,1
Down,73,0,0,2
Down,7,0,0,2
Down,37,0,0,7
Down,13,0,0,1
Down,30,0,0,1
Down,24,0,0,1
Down,8,0,0,2
Down,15,0,1,0
Down,48,0,0,0
Down,93,0,0,1
Down,25,0,0,1
Down,35,0,0,2
Down,61,0,0,0
Down,66,0,0,3
Down,20,0,0,1
Down,30,0,0,0
Down,23,0,0,2
Down,34,0,0,1
Down,14,0,0,1
Down,28,0,0,2
Down,21,0,0,0
Down,36,0,0,2
Down,16,0,0,1
Down,25,0,0,5
Down,9,0,0,4
Down,46,0,0,1
Down,13,0,0,1
Down,12,0,0,3
Down,8,0,0,4
Down,17,0,0,3
Down,8,0,0,4
Down,38,0,0,0
Down,17,0,0,1
Down,14,0,0,2
Down,12,0,0,2
Down,82,1,0,3
Down,12,0,0,1
Down,70,0,0,0
Down,21,0,0,3
Down,37,0,0,1
Down,13,0,0,1
Down,12,0,0,4
Down,10,0,0,1
Down,9,0,0,3
Down,45,0,0,3
Down,15,0,0,7
Down,12,0,0,2
Down,102,0,0,10
Down,223,0,0,7
Down,245,0,0,1
Down,162,0,0,12
Down,102,0,1,2
Down,18,0,0,2
Down,55,0,0,3
Down,30,0,0,1
Down,270,0,0,1
Down,46,0,0,1
Down,78,0,0,0
Down,33,0,0,2
Down,176,0,0,0
Down,181,0,0,4
Down,42,0,1,1
Down,21,0,0,1
Down,20,0,0,5
Down,125,0,0,1
Down,138,0,0,0
Down,228,0,0,2
Down,48,0,0,2
Down,88,0,0,2
Down,25,0,0,0
Down,131,0,0,0
Down,58,0,0,3
Down,64,0,0,1
Down,36,0,0,2
Down,39,0,0,2
Down,143,0,0,3
Down,22,0,0,4
Down,13,0,0,1
Down,4,0,1,0
Down,12,0,0,0
Down,18,0,0,3
Down,116,0,0,0
Down,94,0,1,1
Down,111,0,0,1
Down,22,0,0,1
Down,33,0,0,3
Down,64,0,0,1
Down,12,0,0,1
Down,22,0,0,1
Down,45,0,0,1
Down,98,0,0,2
Down,184,0,0,1
Down,86,0,0,2
Down,252,0,0,1
Down,164,0,0,1
Down,73,0,0,2
Down,14,0,1,0
Down,23,0,1,0
Down,172,0,0,2
Down,54,0,0,2
Down,13,0,0,2
Down,126,0,0,3
Down,21,0,0,1
Down,9,0,0,2
Down,16,1,0,2
Down,4,0,0,0
Down,7,0,0,1
Down,6,0,0,1
Down,5,0,0,3
Down,7,0,0,0
Down,5,0,0,0
Down,6,0,0,0
Down,4,0,0,2
Down,6,0,0,2
Down,8,0,0,4
Down,9,0,0,1
Down,7,0,0,2
Down,8,0,0,1
Down,8,0,0,0
Down,4,0,1,1
Down,6,0,0,1
Down,8,0,1,0
Down,6,0,0,0
Down,7,0,0,1
Down,9,0,0,0
Down,3,0,0,3
Down,4,0,0,0
Down,5,0,1,3
Down,15,0,0,1
Down,11,0,0,0
Down,7,0,0,1
Down,12,0,0,3
Down,11,0,0,1
Down,8,0,0,1
Down,5,0,0,1
Down,6,0,2,1
Down,4,0,0,5
Down,7,0,0,3
Down,9,0,1,1
Down,9,0,0,3
Down,2,0,1,5
Down,6,0,2,1
Down,12,0,0,1
Down,4,0,0,1
Down,8,0,10,1
Down,5,0,2,1
Down,4,0,0,2
Down,5,0,0,1
Down,10,0,0,2
Down,8,0,0,1
Down,11,0,0,1
Down,7,0,0,2
Down,3,0,0,0
Down,4,0,0,1
Down,6,0,0,2
Down,4,0,0,1
Down,7,0,0,3
Down,8,0,0,0
Down,4,0,0,0
Down,8,0,1,0
Down,8,0,0,1
Down,11,0,0,2
Down,9,0,0,0
Down,4,0,0,1
Down,14,0,0,1
Down,23,0,0,7
Down,11,0,0,2
Down,9,0,0,3
Down,18,0,0,0
Down,11,0,0,2
Down,10,0,0,4
Down,9,0,0,3
Down,15,0,0,1
Down,13,0,0,1
Down,18,0,0,1
Down,5,0,0,1
Down,5,0,0,1
Down,13,0,0,0
Down,12,0,0,4
Down,18,0,0,0
Down,13,0,0,1
Down,10,0,0,4
