Direction,Car,Motorbike,Bus,Truck
Up,21,0,0,6
Up,21,0,0,5
Up,23,0,0,3
Up,18,0,0,7
Up,10,0,0,4
Up,13,0,0,10
Up,22,0,1,5
Up,63,0,0,2
Up,26,0,0,4
Up,65,0,0,5
Up,18,0,0,3
Up,17,0,0,4
Up,34,0,0,9
Up,20,0,0,5
Up,13,0,0,5
Up,15,0,0,2
Up,85,0,0,5
Up,73,0,0,5
Up,79,0,0,1
Up,91,0,0,7
Up,37,0,1,4
Up,72,0,0,3
Up,237,0,0,4
Up,259,0,0,8
Up,85,0,0,3
Up,96,0,0,6
Up,98,0,0,2
Up,19,0,0,3
Up,33,0,0,2
Up,69,0,0,3
Up,44,0,0,0
Up,37,0,0,4
Up,99,0,0,4
Up,233,0,0,1
Up,119,0,0,9
Up,94,0,1,4
Up,43,0,0,1
Up,150,0,0,2
Up,265,0,0,1
Up,182,0,0,2
Up,28,0,0,3
Up,112,0,0,5
Up,49,0,0,5
Up,18,0,0,2
Up,42,0,0,1
Up,55,0,0,5
Up,82,0,0,3
Up,55,0,0,3
Up,70,0,0,4
Up,47,0,0,1
Up,187,0,0,2
Up,81,0,0,2
Up,31,0,0,5
Up,24,0,0,3
Up,29,0,0,0
Up,10,0,0,2
Up,47,0,0,2
Up,50,0,0,7
Up,67,0,0,6
Up,14,0,0,1
Up,46,0,0,1
Up,48,0,0,3
Up,84,0,0,1
Up,75,0,0,3
Up,32,0,0,3
Up,24,0,0,3
Up,48,0,1,3
Up,37,0,0,0
Up,47,0,0,4
Up,21,0,0,8
Up,48,0,0,3
Up,38,0,0,2
Up,24,0,0,2
Up,15,0,0,2
Up,19,0,0,8
Up,52,0,0,2
Up,78,0,0,3
Up,16,0,1,3
Up,31,0,1,3
Up,19,0,0,4
Up,59,0,0,2
Up,59,0,0,3
Up,26,0,0,1
Up,31,0,0,1
Up,149,0,0,11
Up,366,0,0,27
Up,298,0,0,33
Up,146,0,0,55
Up,46,0,0,1
Up,16,0,0,4
Up,85,0,0,4
Up,112,0,0,4
Up,96,0,0,3
Up,64,0,0,6
Up,46,0,0,2
Up,39,0,0,2
Up,105,0,1,3
Up,28,0,0,3
Up,110,0,0,1
Up,44,0,0,7
Up,54,0,0,2
Up,211,0,0,2
Up,196,0,0,2
Up,49,0,0,1
Up,152,0,0,2
Up,73,0,0,2
Up,285,0,0,3
Up,76,0,0,3
Up,93,0,0,12
Up,51,0,0,4
Up,75,0,0,2
Up,140,0,0,0
Up,23,0,0,5
Up,21,0,0,1
Up,49,0,0,6
Up,103,0,1,2
Up,64,0,0,3
Up,69,0,0,2
Up,45,0,0,2
Up,135,0,0,3
Up,271,0,0,3
Up,77,0,0,5
Up,58,0,0,1
Up,121,0,0,4
Up,34,0,0,23
Up,66,0,0,2
Up,99,0,0,2
Up,79,0,0,13
Up,39,0,0,3
Up,35,0,0,2
Up,54,0,0,3
Up,22,0,0,6
Up,15,0,0,3
Up,25,0,0,0
Up,46,0,0,3
Up,180,0,0,0
Up,141,0,0,3
Up,27,0,0,2
Up,28,0,1,3
Up,54,0,0,1
Up,28,0,0,1
Up,22,0,0,6
Up,13,0,0,2
Up,17,0,0,3
Up,14,0,0,4
Up,14,0,0,3
Up,13,0,0,3
Up,19,0,0,3
Up,8,0,0,2
Up,22,0,0,5
Up,22,0,0,3
Up,16,0,1,4
Up,12,0,0,0
Up,18,0,0,4
Up,18,0,0,1
Up,14,0,0,3
Up,13,0,0,4
Up,17,0,0,3
Up,16,0,0,2
Up,23,0,0,2
Up,17,0,0,2
Up,12,0,0,6
Up,16,0,0,0
Up,12,0,0,1
Up,13,0,0,3
Up,38,0,0,7
Up,10,0,0,5
Up,14,0,0,4
Up,18,0,0,6
Up,16,0,0,3
Up,18,0,0,1
Up,18,0,0,1
Up,13,0,0,3
Up,21,0,0,1
Up,14,0,0,3
Up,12,0,0,1
Up,13,0,0,3
Up,15,0,0,8
Up,12,0,0,2
Up,20,0,0,3
Up,5,0,0,2
Up,18,0,0,2
Up,15,0,0,6
Up,21,0,0,3
Up,18,0,0,3
Up,17,0,0,3
Up,11,0,0,4
Up,5,0,0,2
Up,13,0,0,5
Up,7,0,0,5
Up,9,0,0,5
Up,7,0,0,4
Up,6,0,0,3
Up,13,0,0,4
Up,17,0,0,5
Up,11,0,0,0
Up,14,0,0,7
Up,17,0,0,2
Up,13,0,0,5
Up,17,0,0,5
Up,7,0,0,3
Up,23,0,1,1
Up,19,0,2,10
Up,18,0,0,4
Up,19,0,0,2
Up,17,0,0,6
Up,23,0,0,3
Up,24,0,0,3
Up,14,0,0,3
Up,12,0,0,2
Up,16,1,0,4
Up,17,0,0,3
Up,19,0,0,4
Up,19,0,0,2
Up,18,0,0,6
Up,21,0,0,3
Up,18,0,0,4
Up,14,0,1,3
Up,12,0,0,3
